Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
11-08-2013,20.2,31.8,26.5,67,0,8,8,60,4,E
12-08-2013,20.2,31.9,25.3,66,0,7.6,9,80,4,E
13-08-2013,21.5,31.9,27.5,52,0,8,9,90,4,E
14-08-2013,23.6,32.4,27.1,72,0,7.1,11,60,4,E
15-08-2013,24.5,33.4,28.1,73,0,7.2,11,70,5,E
16-08-2013,23.4,33.6,28.4,71,0,8,10,70,5,E
17-08-2013,21.8,33.2,27.9,67,0,8,8,60,5,E
18-08-2013,22.2,32.6,27.3,66,0,8,8,50,4,E
19-08-2013,22.8,32.5,26.8,67,0,8,9,70,5,E
20-08-2013,22.4,33.2,27.5,66,0,8,10,80,4,E
21-08-2013,22.8,34.1,27.8,68,0,8,9,60,3,E
22-08-2013,22.8,33.6,27.6,68,0,8,8,70,3,E
23-08-2013,22.4,32.9,27.6,67,0,7.4,11,60,5,E
24-08-2013,23.4,32.4,26.9,75,0,8,11,80,6,E
25-08-2013,23.4,32.2,27.2,72,0,8,12,60,5,E
26-08-2013,23.8,33,27.6,66,0,8,11,60,4,E
27-08-2013,24.2,32.6,27.7,69,0,8,11,70,6,E
28-08-2013,24.4,33.6,28.5,66,0,8,12,60,5,E
29-08-2013,24.6,35.2,28.9,71,0,8,8,70,4,E
30-08-2013,24.8,34.2,29.2,71,0,8,8,100,2,E
31-08-2013,26.2,34.4,29.1,70,0,8,9,70,4,E
01-09-2013,24.6,33.4,29.7,66,0,8,11,60,4,E
02-09-2013,24.9,34.2,28.4,67,0,8,10,60,4,E
03-09-2013,24,33.4,28.8,67,0,8,8,80,4,E
04-09-2013,23.2,34.2,28.1,68,0,8,10,60,5,E
05-09-2013,24.8,33.7,29.8,57,0,8,11,50,5,E
06-09-2013,23.8,33,28.2,68,0,8,8,60,5,E
07-09-2013,24.6,33.6,28.1,67,0,8,8,60,4,E
08-09-2013,24,33.8,28.4,69,0,7.8,8,50,5,E
09-09-2013,23,33.1,27.9,66,0,8,8,70,3,E
10-09-2013,23.2,33.2,27.6,62,0,8,8,100,4,E
11-09-2013,24,34,28.1,60,0,8,8,80,4,E
12-09-2013,24.2,34.2,28.6,66,0,8,9,70,5,E
13-09-2013,24.2,34.8,30,53,0,8,8,80,4,E
14-09-2013,24,34,28.3,65,0,8,9,60,4,E
15-09-2013,23.5,33.4,28.3,63,0,8,8,60,4,E
16-09-2013,23.2,34.3,28.8,62,0,8,8,70,4,E
17-09-2013,23.8,33.8,28.6,66,0,8,8,60,3,E
18-09-2013,24.2,34.2,28.4,69,0,7.5,8,60,4,E
19-09-2013,23,34.6,28.8,64,0,8,8,110,3,E
20-09-2013,23,34.8,28.3,59,0,8,8,70,4,E
21-09-2013,23.4,34.2,28.1,65,0,8,8,60,4,E
22-09-2013,23.7,34.9,28.2,65,0,8,8,100,5,E
23-09-2013,23.4,34.4,28.5,63,0,8,11,70,5,E
24-09-2013,23.6,35.6,28.7,59,0,8,11,60,5,E
25-09-2013,23.4,35,28.6,67,0,8,8,50,4,E
26-09-2013,23.6,34.6,28.7,64,0,8,9,60,4,E
27-09-2013,23.4,34.4,28.4,66,0,8,7,70,3,E
28-09-2013,23.4,35,28.5,65,0,8,6,70,4,E
29-09-2013,24.2,34.8,28.7,62,0,8,7,70,4,E
30-09-2013,24.2,34.4,28.9,65,0,7.5,9,80,4,E
01-10-2013,24.4,34.3,28.6,64,0,7.5,9,70,4,E
02-10-2013,23.6,34.5,28.8,61,0,8,10,60,4,E
03-10-2013,24.6,36.1,29.6,62,0,8,8,90,4,E
04-10-2013,24.6,36.5,29.5,64,0,8,8,70,5,E
05-10-2013,24.4,36.4,29.1,67,0,8,6,300,4,E
06-10-2013,25.4,35.6,29.7,59,0,8,8,110,4,E
07-10-2013,25,36,30.1,58,0,8,8,90,5,E
08-10-2013,24.4,36.2,29.8,55,0,8,8,140,3,E
09-10-2013,24.5,35.4,29.6,60,0,7.5,8,60,4,E
10-10-2013,24.6,35.6,29.3,62,0,8,8,170,4,E
11-10-2013,25.6,36.2,29.6,62,0,8,8,90,4,E
12-10-2013,24.6,36.2,30.2,62,0,8,8,350,4,E
13-10-2013,25,35.4,29.8,64,0,8,8,90,4,E
14-10-2013,24.8,36,29.9,61,0,8,10,50,3,E
15-10-2013,26,36.2,29.7,56,0,8,8,70,3,E
16-10-2013,26.2,36,30.6,62,0,8,11,80,4,E
17-10-2013,27.4,34.7,30.9,70,8888,6.5,11,70,5,E
18-10-2013,27.2,36.8,31.7,62,0,8,10,70,5,E
19-10-2013,26.3,35.8,30.9,66,0,8,11,10,3,E
20-10-2013,25.5,36.9,31,62,0,8,8,70,4,E
21-10-2013,26.2,36.6,30.9,59,0,8,11,60,4,E
22-10-2013,26.2,36.9,30.8,64,0,7.5,7,60,4,E
23-10-2013,26.4,36.2,31,60,0,5,7,60,4,E
24-10-2013,25.8,36.2,31.3,60,0,8,9,50,4,E
25-10-2013,26.4,37.6,30.9,62,0,8,11,350,3,E
26-10-2013,25.2,36.4,30.7,65,0,8,8,50,3,E
27-10-2013,26,35.9,30.5,68,5.6,8,11,70,4,E
28-10-2013,26.4,36,30.7,66,0,8,10,80,3,E
29-10-2013,25.6,35.3,30,71,0,5.2,11,10,2,W
30-10-2013,25.8,36.2,30.3,64,0,6.5,11,20,2,W
31-10-2013,25.1,34.5,30,62,0,1,5,100,2,E
01-11-2013,25.8,36.4,29.6,66,0,8,7,330,4,E
02-11-2013,26.4,36,30.2,66,8888,8,8,70,4,E
03-11-2013,24.8,35,29.3,71,0,4,12,350,4,E
04-11-2013,25.4,36.4,30.3,68,9,7.3,10,60,3,E
05-11-2013,26.4,36.9,31.3,64,0,7.8,8,50,3,E
06-11-2013,27.3,36.8,30.9,66,0,8,8,70,4,E
07-11-2013,26.2,36.4,31.3,63,0,6.5,8,50,3,E
08-11-2013,26.4,35.2,29.3,71,0,4,10,320,4,E
09-11-2013,26.4,36.5,31,64,8888,5.7,9,80,4,E
10-11-2013,27.4,36.6,31.1,67,0,8,10,70,3,E
11-11-2013,26.6,36.6,31,65,0,5,9,70,3,E
12-11-2013,24.8,34.3,29,72,8888,1.5,10,10,2,NW
13-11-2013,25,35.6,30.1,67,8888,8,8,320,2,W
14-11-2013,25,34.1,28.6,75,10.5,3,7,350,2,W
15-11-2013,24.5,33.4,28.4,77,8888,3.8,12,30,3,E
16-11-2013,24.6,32.4,26.8,86,18.9,1,11,40,4,E
17-11-2013,24.4,33.6,28.4,76,8888,3.9,9,320,3,NW
18-11-2013,25.7,34.4,28.7,74,2.7,4.2,8,290,4,W
19-11-2013,24.8,31.4,26.7,88,0.1,0,10,300,2,NW
20-11-2013,25,32.1,27.5,83,13.3,3.1,9,280,3,W
21-11-2013,25.6,32.8,28.7,72,0.8,2.3,7,150,3,NW
22-11-2013,25,34,29.5,66,0,7.6,8,100,4,E
23-11-2013,25.4,34.4,29.2,72,0.8,5.6,6,300,3,NW
24-11-2013,26.1,34.6,30.1,69,0.3,4.8,7,300,3,NW
25-11-2013,23.6,35,28.4,77,0,4,11,330,3,NW
26-11-2013,24.8,33.6,27.3,80,5.7,5,4,340,3,NW
27-11-2013,24.6,34,27.8,80,0,2.3,8,230,3,E
28-11-2013,25.6,33.7,28.1,82,16.8,4.5,9,300,3,E
29-11-2013,24.2,32.2,28.1,80,8888,2,7,130,3,E
30-11-2013,25,33.6,29.5,66,1.3,7.8,8,40,3,E
01-12-2013,26.1,33.2,28.7,74,8888,2.1,6,320,2,NW
02-12-2013,25.6,34.4,29.8,72,0,6,7,50,3,E
03-12-2013,26,34.7,29.5,74,6,5.4,7,30,2,NW
04-12-2013,25.8,33,28.7,80,1.4,3,6,20,3,E
05-12-2013,24.6,32.4,26.6,92,32.7,0.4,7,330,4,W
06-12-2013,26,32.8,28.8,79,5.1,7.5,6,50,3,E
07-12-2013,24.6,32.2,28.7,78,2.7,2.5,8,350,2,SW
08-12-2013,24.8,34.5,28.2,80,0,5.3,6,30,2,NW
09-12-2013,24.6,32.7,27.6,85,43.9,2.3,8,320,4,NW
10-12-2013,26,33.6,28.8,80,5.7,6.1,8,10,3,E
11-12-2013,24.8,33.2,29,82,0.6,5.5,15,310,3,NW
12-12-2013,24.4,30.2,25.6,92,18.4,0,6,310,2,W
13-12-2013,25.2,32.8,28.3,82,129.3,6.2,7,40,3,E
14-12-2013,24,32.6,27.3,84,0,0.4,7,15,3,N
15-12-2013,24.6,32.7,27.5,82,7.9,4.6,7,320,3,NW
